VisitID,Restaurant,ServerEmpID,ServerName,StartDateHired,EndDateHired,HourlyRate,ServerBirthDate,ServerTIN,VisitDate,VisitTime,MealType,PartySize,Genders,WaitTime,CustomerName,CustomerPhone,CustomerEmail,LoyaltyMember,FoodBill,TipAmount,DiscountApplied,PaymentMethod,orderedAlcohol,AlcoholBill
1,Patty Palace,1843,"Walker, Mia",10/24/22,,15.25,7/3/65,700-18-1686,10/27/23,7:08,Breakfast,3,uff,1,,,,FALSE,24.2,0.15,0,Mobile Payment,no,0
2,Bun Fi,,N/A,0000-00-00,9999-99-99,0,,,1/26/19,17:08,Take-Out,1,f,0,,,,FALSE,18.34,0,0,Credit Card,no,0
3,Big Bite Burgers,1589,"Green, David",4/9/22,,16.5,7/13/87,544-47-7241,6/14/23,19:37,Dinner,1,m,2,,,,FALSE,21.8,0.15,0,Mobile Payment,yes,10.3125
4,Bite & Bun,2688,"Allen, Zoe K.",4/17/23,,14,,770-57-6232,11/23/23,8:59,Take-Out,5,umfuf,1,Merritt Atkinson,(618) 437-7815,ultricies.sem@hotmail.ca,TRUE,101.19,0,0.1,Cash,no,0
5,Bite & Bun,2672,"Harris, Victoria",11/2/21,3/31/23,12.75,9/20/95,751-68-1226,11/16/22,16:38,Take-Out,1,u,0,,,,FALSE,17.91,0,0,Credit Card,no,0
6,Bun Fi,,N/A,0000-00-00,9999-99-99,0,,,2/13/19,15:17,Take-Out,4,muum,0,Yeo Sanchez,(468) 860-0535,posuere.enim.nisl@protonmail.net,TRUE,77.24,0,0.1,Cash,no,0
7,Stacked & Sizzled,2221,"Wilson, James",2/17/23,4/8/23,10.25,12/22/77,,3/28/23,7:08,Breakfast,1,m,1,,,,FALSE,5.13,0.25,0,Cash,no,0
8,Stacked & Sizzled,2731,"Brown, Olivia",10/21/19,7/7/23,19,,,12/8/21,15:51,Lunch,2,um,0,Norman Bishop,(888) 676-9746,semper.rutrum@google.org,TRUE,20.81,0.25,0.15,Credit Card,no,0
9,Burger Haven,1916,"Hall, Lucas",4/22/24,5/17/24,10.25,10/8/03,791-43-3722,4/28/24,11:46,Breakfast,4,ufmf,1,,,,FALSE,37.7,0.18,0,Credit Card,no,0
10,Stacked & Sizzled,2912,"Johnson, Michael",1/27/18,,26.5,1/11/97,518-90-3806,4/8/23,10:56,Breakfast,2,mu,0,Ross Hawkins,(745) 258-2759,commodo.hendrerit@protonmail.ca,TRUE,20.03,0.15,0.15,Mobile Payment,no,0
11,Grill & Thrill,1886,"Carter, Grace",7/3/22,7/16/22,10.25,4/28/84,596-20-2242,7/9/22,11:57,Lunch,2,fu,10,,,,FALSE,16.08,0.15,0,Credit Card,no,0
12,Grill & Thrill,1886,"Carter, Grace",7/3/22,7/16/22,10.25,4/28/84,596-20-2242,7/10/22,10:51,Breakfast,1,m,0,,,,FALSE,6.23,0.18,0,Credit Card,no,0
13,Burger Haven,2770,"Thomas, Benjamin",5/27/22,8/11/22,10.25,4/17/85,192-19-7729,7/20/22,20:17,Dinner,3,mmf,0,Abbot Goodwin,(229) 623-3976,sed.et@yahoo.org,TRUE,62.64,0.15,0.1,Mobile Payment,yes,30.9375
14,Bun Fi,,N/A,0000-00-00,9999-99-99,0,,,5/28/23,9:58,Breakfast,1,f,1,,,,FALSE,8.56,0.22,0,Credit Card,no,0
15,The Burger Joint,2405,"Baker, Benjamin",7/4/18,,26.5,7/2/84,917-69-3373,1/29/21,13:34,Lunch,2,mu,0,Chancellor Sanchez,(250) 614-4577,amet@aol.org,TRUE,51.28,0.18,0.1,Cash,no,0
